age,sex,height_cm,weight_kg,bmi,avg_surplus,days,weight_change
19,Male,166.0,64.0,23.2,-382,21,-1.33
58,Male,171.0,77.2,26.4,-573,60,-4.36
51,Female,164.0,53.3,19.8,-104,90,-1.26
39,Female,158.0,59.0,23.6,-890,14,-1.61
39,Female,160.0,76.0,29.7,215,14,0.15
63,Female,165.0,70.7,26.0,119,60,0.97
19,Male,172.0,93.7,31.7,257,14,0.11
54,Female,158.0,64.6,25.9,325,7,0.27
26,Female,172.0,54.0,18.3,432,30,2.04
20,Male,174.0,63.9,21.1,-679,14,-1.31
44,Female,157.0,55.2,22.4,353,30,1.49
69,Male,179.0,116.3,36.3,-54,7,-0.67
56,Female,164.0,63.4,23.6,-715,21,-2.55
57,Female,158.0,72.9,29.2,576,14,1.14
55,Female,163.0,56.5,21.3,318,30,1.54
59,Female,166.0,79.7,28.9,-497,14,-0.97
43,Male,174.0,99.7,32.9,436,14,1.28
22,Female,161.0,78.9,30.4,196,90,1.74
62,Female,162.0,67.2,25.6,-229,90,-2.88
40,Female,173.0,58.9,19.7,-657,14,-1.16
43,Female,158.0,104.5,41.9,197,30,0.81
35,Male,158.0,92.0,36.9,499,21,1.08
25,Female,164.0,77.3,28.7,-611,14,-1.35
66,Male,175.0,94.7,30.9,-900,7,-0.54
58,Female,165.0,64.1,23.5,-556,90,-6.46
51,Male,192.0,64.0,17.4,-458,7,-0.56
37,Male,185.0,71.0,20.7,-331,21,-0.78
61,Male,181.0,104.2,31.8,565,14,0.88
45,Female,171.0,69.4,23.7,546,60,4.22
39,Male,171.0,67.0,22.9,106,7,0.05
40,Male,174.0,92.3,30.5,-574,30,-2.23
27,Female,159.0,72.2,28.6,-583,21,-1.81
20,Male,179.0,66.1,20.6,-778,30,-3.15
46,Male,178.0,92.5,29.2,287,14,0.53
64,Male,166.0,93.2,33.8,-569,7,-1.04
18,Male,185.0,83.0,24.3,448,14,1.02
63,Female,155.0,40.0,16.6,1,30,0.01
61,Female,150.0,72.8,32.4,-169,30,-0.91
30,Female,164.0,76.9,28.6,494,90,6.16
50,Male,177.0,58.3,18.6,-666,90,-7.77
24,Male,183.0,97.9,29.2,-204,60,-1.89
57,Male,172.0,103.5,35.0,-512,7,0.04
54,Male,182.0,74.5,22.5,-629,60,-4.51
34,Female,155.0,66.7,27.8,515,60,3.79
18,Female,166.0,87.3,31.7,8,60,-0.01
69,Male,164.0,107.3,39.9,-659,30,-2.46
39,Female,167.0,69.1,24.8,-739,60,-6.25
65,Female,160.0,75.8,29.6,-432,30,-1.58
52,Male,178.0,73.3,23.1,351,30,1.61
58,Female,162.0,73.5,28.0,-682,60,-5.12
57,Male,183.0,70.6,21.1,213,7,0.2
25,Male,180.0,104.7,32.3,-742,30,-2.39
35,Female,167.0,88.6,31.8,-395,7,-0.61
41,Female,160.0,63.4,24.8,-117,90,-0.89
42,Male,179.0,75.6,23.6,-707,90,-8.47
17,Female,164.0,83.9,31.2,-305,7,-0.39
45,Female,163.0,56.2,21.2,-499,90,-5.99
23,Female,162.0,69.5,26.5,-831,21,-2.41
56,Male,162.0,92.3,35.2,-899,60,-6.36
53,Female,161.0,100.3,38.7,-683,30,-2.46
66,Female,152.0,97.3,42.1,223,7,0.22
56,Female,166.0,63.5,23.0,-844,90,-10.1
35,Female,156.0,72.3,29.7,-142,30,-0.51
69,Female,153.0,65.1,27.8,-864,21,-2.7
38,Female,155.0,60.1,25.0,-577,30,-2.06
33,Female,164.0,66.7,24.8,-633,90,-7.22
65,Female,161.0,64.4,24.8,-390,30,-1.52
35,Male,186.0,64.1,18.5,216,30,0.68
19,Male,178.0,61.3,19.3,-268,90,-3.06
41,Female,170.0,64.4,22.3,-878,60,-7.07
59,Female,159.0,69.4,27.5,-683,7,-0.61
25,Female,161.0,63.9,24.7,-443,60,-3.49
40,Male,168.0,63.2,22.4,-483,90,-4.96
22,Female,168.0,77.2,27.4,-53,60,-0.69
53,Male,160.0,69.8,27.3,-374,7,-1.1
41,Male,184.0,90.1,26.6,216,30,0.67
33,Male,192.0,75.7,20.5,-522,7,-0.9
27,Male,176.0,93.8,30.3,117,60,0.65
46,Female,179.0,73.6,23.0,-749,90,-9.11
52,Female,157.0,40.0,16.2,583,7,0.33
67,Male,168.0,69.4,24.6,581,7,0.19
39,Female,162.0,68.8,26.2,-487,90,-5.44
23,Male,180.0,77.0,23.8,-549,60,-4.29
61,Male,177.0,104.0,33.2,-900,60,-5.99
50,Female,170.0,49.4,17.1,564,14,1.14
54,Male,170.0,76.1,26.3,-843,30,-3.02
20,Female,160.0,70.1,27.4,-897,60,-7.06
32,Male,172.0,56.1,19.0,-754,7,-0.3
57,Male,166.0,66.2,24.0,-458,14,-0.69
61,Female,160.0,56.2,22.0,563,14,0.79
39,Female,169.0,44.2,15.5,-650,30,-2.63
60,Male,174.0,74.6,24.6,-45,14,-0.07
62,Male,164.0,53.3,19.8,76,21,0.15
36,Female,161.0,45.7,17.6,299,14,0.62
65,Male,153.0,85.5,36.5,149,7,0.35
31,Male,171.0,57.6,19.7,578,60,3.99
28,Female,157.0,92.8,37.6,93,30,0.24
53,Male,176.0,82.4,26.6,367,90,4.48
50,Female,157.0,85.1,34.5,-420,30,-1.4
22,Male,184.0,83.1,24.5,-289,60,-2.5
61,Female,155.0,70.1,29.2,206,21,-0.15
26,Female,153.0,100.1,42.8,414,21,1.41
60,Male,177.0,83.5,26.7,-893,21,-2.49
15,Male,161.0,78.8,30.4,-249,90,-2.3
59,Male,190.0,94.9,26.3,304,21,1.07
59,Female,169.0,77.5,27.1,-729,90,-8.76
58,Female,168.0,51.3,18.2,-371,14,-1.48
52,Female,168.0,75.7,26.8,-78,60,-0.74
41,Male,177.0,105.6,33.7,-776,14,-1.28
54,Male,171.0,67.6,23.1,474,21,1.42
30,Female,172.0,76.1,25.7,-349,90,-4.35
58,Female,165.0,86.5,31.8,277,60,2.0
46,Female,149.0,64.3,29.0,-259,21,-0.66
40,Male,170.0,86.9,30.1,-297,21,-0.47
43,Male,170.0,89.7,31.0,549,60,3.77
46,Male,178.0,69.6,22.0,383,7,0.47
17,Male,184.0,84.3,24.9,-126,90,-1.41
22,Male,172.0,77.9,26.3,-204,30,-0.6
28,Female,163.0,74.0,27.9,271,14,0.3
21,Male,175.0,63.2,20.6,127,60,0.31
39,Female,161.0,81.4,31.4,569,90,5.92
52,Female,163.0,41.8,15.7,-400,21,-1.27
51,Female,168.0,77.5,27.5,-731,21,-2.32
41,Female,152.0,64.2,27.8,-608,90,-7.5
62,Male,178.0,84.6,26.7,-108,21,-0.47
46,Female,168.0,61.5,21.8,-430,90,-5.06
19,Male,162.0,82.2,31.3,314,90,3.32
57,Female,172.0,75.2,25.4,413,30,0.94
47,Female,151.0,63.2,27.7,-620,7,-1.04
50,Female,150.0,49.1,21.8,585,7,0.85
46,Male,177.0,66.1,21.1,47,14,0.03
46,Male,181.0,62.6,19.1,-504,7,-0.46
20,Male,165.0,94.6,34.7,-599,60,-4.49
46,Male,164.0,102.8,38.2,-652,30,-2.29
59,Female,167.0,102.5,36.8,-193,21,-0.59
32,Male,178.0,101.5,32.0,-794,60,-5.72
48,Male,172.0,79.3,26.8,-704,7,-1.04
16,Female,163.0,50.1,18.9,231,30,0.72
34,Male,171.0,85.6,29.3,-167,21,0.03
39,Female,154.0,76.1,32.1,-108,7,-0.18
70,Male,182.0,81.1,24.5,-413,21,-0.87
27,Male,169.0,57.5,20.1,-66,7,-0.11
30,Female,165.0,67.0,24.6,-386,7,-0.43
37,Female,162.0,114.8,43.7,-833,14,-1.52
70,Female,158.0,58.4,23.4,-48,14,0.34
62,Female,171.0,70.4,24.1,-779,30,-2.92
16,Male,154.0,77.0,32.5,133,60,0.77
28,Female,160.0,80.8,31.6,472,21,1.07
61,Male,174.0,61.7,20.4,101,30,0.72
18,Female,157.0,52.9,21.5,-35,7,-0.64
62,Male,160.0,81.1,31.7,547,60,3.93
30,Female,164.0,85.6,31.8,-571,30,-1.87
66,Male,182.0,66.3,20.0,261,21,0.48
31,Female,166.0,46.6,16.9,-589,90,-7.54
39,Female,177.0,59.9,19.1,-900,14,-1.51
52,Female,157.0,91.9,37.3,-539,21,-1.67
22,Female,151.0,64.1,28.1,-146,90,-1.52
